functionName,elapsedTime,numCalls,percentage,avgTime
SolveCorrelations,128.85132462499314,1,37.94,128.85132462499314
__CalculateDoubleTimeCorrelations,126.5624522500002,1,37.26,126.5624522500002
__ClassicallyDrivenSSHEquations,75.10027321950474,16722770,22.11,4.490899128523847e-06
__SinusoidalDrivingTerm,5.112396801589057,16722773,1.51,3.0571465639036403e-07
__CalculateSingleTimeCorrelations,2.231236125007854,1,0.66,2.231236125007854
CalculateCurrent,0.8677514160081046,1,0.26,0.8677514160081046
__CalculateDoubleTimeCurrent,0.7753099169931374,1,0.23,0.7753099169931374
__CalculateConnectedCurrentCorrelator,0.08868187500047497,1,0.03,0.08868187500047497
__CalculateSingleTimeFourierSeries,0.057343416003277525,1,0.02,0.057343416003277525
__CalculateCurrentFourier,0.002787374993204139,1,0.0,0.002787374993204139
__CalculateCurrentHarmonics,0.0007202919950941578,1,0.0,0.0007202919950941578
__CreateFourierMatrix,0.0003981670015491545,1,0.0,0.0003981670015491545
__CalculateDoubleTimeInitialConditions,0.00022166699636727571,1,0.0,0.00022166699636727571
__CalculateCurrentExpectation,0.0001625419972697273,1,0.0,0.0001625419972697273
__CalculateVzFourier,0.0001545839913887903,1,0.0,0.0001545839913887903
__CalculateDoubleTimeInhomogeousParts,9.879199205897748e-05,1,0.0,9.879199205897748e-05
__CalculateVpmFourier,7.233300129882991e-05,1,0.0,7.233300129882991e-05
__CalculateSteadyStateMask,3.2500975066795945e-05,4,0.0,8.125243766698986e-06
